Dataset_pd1,,Dataset_ctla4,,Dataset_ab_binding,
0.0011664845229300029,100.24597720415689,0.001141102983231507,98.93060677170634,0.0011664845229300029,0.5091350988937222
0.0035041766167270188,100.22502514247401,0.0034279292288194687,98.38333892054978,0.0035041766167270188,0.22502514247400995
0.010526718117419244,100.20407308079115,0.01007360026370444,104.41543747904794,0.010297667231153714,1.5202815957090365
0.03093469652525358,99.92038216560509,0.03093469652525358,95.97301374455245,0.0296031264063913,3.868588669125046
0.09292934289180016,97.2678511565538,0.09090729308368205,95.16300703989273,0.09292934289180016,8.057324840764323
0.26133492450382845,97.24815621857189,0.26133492450382845,87.77447200804559,0.26714779403302114,11.721421387864567
0.8386232120781255,91.69963124371438,0.8025250525479058,73.01625879986591,0.8025250525479058,23.54257458933958
2.3583674111498887,76.94309420046932,2.5192651871858702,45.889205497820996,2.5192651871858702,47.731310760978886
7.567995962858456,47.44720080455916,7.242234975496368,25.60593362386858,7.242234975496368,76.39540730807911
21.282638960459142,2.1643479718404137,21.756028438535772,12.953402614817293,21.756028438535772,88.74287629902781
65.35617458144343,0.8271873952396902,63.93408941265437,3.9855011733154697,63.93408941265437,96.35392222594703
200.7001840258611,-1.0362889708347325,205.16435576426306,-0.7735501173315527,192.0611347408348,99.7540227958431
